INFO:__main__:🤖 KITE AUTO SYSTEM STARTED
INFO:__main__:✅ Kite connected: Indarapu Dathatraya Rao
INFO:__main__:🚀 Kite trading started
INFO:__main__:✅ Signal sent: NIFTY 79%
INFO:__main__:✅ Signal sent: SENSEX 78%
INFO:__main__:✅ Signal sent: NIFTYIT 80%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 81%
INFO:__main__:✅ Signal sent: NIFTY 80%
INFO:__main__:✅ Signal sent: BANKNIFTY 79%
INFO:__main__:✅ Signal sent: SENSEX 79%
INFO:__main__:✅ Signal sent: NIFTYIT 81%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 81%
INFO:__main__:✅ Signal sent: BANKEX 79%
INFO:__main__:✅ Signal sent: NIFTY 80%
INFO:__main__:✅ Signal sent: BANKNIFTY 80%
INFO:__main__:✅ Signal sent: SENSEX 79%
INFO:__main__:✅ Signal sent: NIFTYIT 82%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 82%
INFO:__main__:✅ Signal sent: BANKEX 80%
INFO:__main__:✅ Signal sent: NIFTY 79%
INFO:__main__:✅ Signal sent: NIFTYIT 81%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 82%
INFO:__main__:✅ Signal sent: NIFTY 78%
INFO:__main__:✅ Signal sent: NIFTYIT 82%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 82%
INFO:__main__:✅ Signal sent: NIFTY 79%
INFO:__main__:✅ Signal sent: BANKNIFTY 78%
INFO:__main__:✅ Signal sent: SENSEX 78%
INFO:__main__:✅ Signal sent: NIFTYIT 82%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 84%
INFO:__main__:✅ Signal sent: NIFTY 79%
INFO:__main__:✅ Signal sent: SENSEX 78%
INFO:__main__:✅ Signal sent: NIFTYIT 84%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 82%
INFO:__main__:✅ Signal sent: NIFTY 78%
INFO:__main__:✅ Signal sent: NIFTYIT 85%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 82%
INFO:__main__:✅ Signal sent: NIFTY 79%
INFO:__main__:✅ Signal sent: SENSEX 78%
INFO:__main__:✅ Signal sent: NIFTYIT 86%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 83%
INFO:__main__:✅ Signal sent: NIFTY 78%
INFO:__main__:✅ Signal sent: NIFTYIT 83%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 83%
INFO:__main__:✅ Signal sent: NIFTY 78%
INFO:__main__:✅ Signal sent: NIFTYIT 83%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 82%
INFO:__main__:✅ Signal sent: NIFTY 79%
INFO:__main__:✅ Signal sent: SENSEX 78%
INFO:__main__:✅ Signal sent: NIFTYIT 83%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 83%
INFO:__main__:✅ Signal sent: NIFTY 80%
INFO:__main__:✅ Signal sent: SENSEX 79%
INFO:__main__:✅ Signal sent: NIFTYIT 84%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 83%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 83%
INFO:__main__:✅ Signal sent: BANKEX 79%
INFO:__main__:✅ Signal sent: NIFTY 79%
INFO:__main__:✅ Signal sent: NIFTYIT 82%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 83%
INFO:__main__:✅ Signal sent: NIFTY 78%
INFO:__main__:✅ Signal sent: NIFTYIT 83%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 83%
INFO:__main__:✅ Signal sent: NIFTY 79%
INFO:__main__:✅ Signal sent: SENSEX 79%
INFO:__main__:✅ Signal sent: NIFTYIT 85%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 83%
INFO:__main__:✅ Signal sent: BANKEX 78%
INFO:__main__:✅ Signal sent: NIFTY 78%
INFO:__main__:✅ Signal sent: SENSEX 78%
INFO:__main__:✅ Signal sent: NIFTYIT 86%
INFO:__main__:✅ Signal sent: MIDCPNIFTY 83%
INFO:__main__:🛑 Kite trading stopped
